,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,
196601,"	0","	5","	11","	6","	89","	1","	9","	0","	3","	7","	4","	3","	12","	2","	6","	2","	6","	26","	1","	10","	9","	6","	84","	3","	5","	1","	2","	8","	1","	0","	3","	21","	13","	3","	0","	40","	0","	14","	26","	6","	4","	0","	93","	62","	1","	11","	0","	5","	15","	1","	1","	"
196602,"	6","	3","	6","	25","	122","	3","	8","	0","	3","	11","	0","	1","	5","	2","	28","	8","	4","	23","	8","	10","	10","	17","	47","	3","	5","	9","	0","	14","	1","	0","	1","	25","	15","	4","	74","	25","	0","	19","	38","	0","	2","	0","	32","	40","	4","	12","	0","	9","	9","	4","	0","	"
196603,"	0","	2","	2","	9","	98","	0","	5","	0","	2","	18","	0","	2","	4","	0","	24","	10","	8","	17","	10","	17","	6","	14","	71","	2","	5","	4","	2","	13","	0","	4","	0","	10","	13","	1","	47","	23","	1","	14","	39","	1","	1","	0","	39","	51","	6","	14","	0","	9","	10","	3","	1","	"
196604,"	1","	4","	9","	18","	132","	5","	4","	0","	1","	11","	2","	0","	2","	1","	33","	19","	3","	18","	5","	18","	8","	7","	71","	11","	6","	11","	0","	11","	1","	0","	2","	18","	21","	0","	71","	29","	0","	21","	66","	4","	3","	1","	26","	41","	19","	10","	0","	6","	3","	9","	2","	"
196605,"	1","	7","	9","	12","	130","	7","	1","	0","	2","	18","	0","	0","	21","	5","	30","	15","	9","	44","	9","	13","	7","	4","	50","	13","	5","	10","	1","	9","	2","	0","	0","	15","	23","	2","	44","	45","	1","	24","	30","	1","	2","	0","	19","	39","	1","	29","	1","	13","	5","	4","	0","	"
196606,"	1","	4","	8","	9","	143","	15","	1","	1","	1","	12","	0","	0","	4","	0","	24","	14","	9","	26","	6","	8","	16","	10","	46","	9","	6","	9","	3","	13","	1","	0","	3","	14","	13","	0","	46","	30","	4","	29","	44","	8","	1","	0","	27","	46","	4","	9","	0","	18","	7","	6","	2","	"
196607,"	3","	0","	6","	8","	149","	8","	4","	0","	2","	11","	3","	2","	4","	5","	18","	10","	3","	20","	9","	6","	20","	6","	81","	4","	29","	8","	0","	7","	0","	0","	3","	12","	20","	0","	57","	27","	0","	9","	36","	0","	4","	2","	23","	36","	7","	15","	2","	10","	11","	15","	3","	"
196608,"	0","	16","	7","	12","	101","	11","	9","	0","	1","	19","	5","	0","	6","	3","	17","	10","	4","	81","	6","	6","	9","	8","	64","	15","	66","	3","	0","	8","	0","	0","	1","	6","	15","	0","	39","	43","	1","	14","	54","	0","	0","	1","	19","	36","	5","	16","	0","	11","	10","	6","	0","	"
196609,"	2","	3","	8","	6","	101","	8","	1","	0","	0","	22","	3","	0","	15","	1","	47","	7","	1","	47","	11","	8","	18","	9","	115","	5","	16","	6","	4","	11","	0","	0","	3","	19","	7","	0","	50","	36","	0","	10","	50","	2","	2","	0","	28","	51","	2","	22","	2","	5","	8","	6","	4","	"
196610,"	11","	14","	9","	7","	106","	14","	3","	1","	0","	20","	3","	1","	10","	4","	22","	12","	4","	32","	7","	10","	23","	3","	80","	9","	13","	5","	0","	8","	0","	1","	4","	24","	9","	0","	0","	45","	0","	5","	35","	0","	4","	0","	28","	42","	2","	23","	3","	10","	7","	11","	1","	"
196611,"	1","	7","	4","	2","	112","	4","	6","	0","	2","	19","	15","	2","	16","	0","	17","	9","	13","	32","	6","	2","	17","	1","	73","	8","	45","	5","	1","	10","	1","	1","	1","	16","	8","	0","	62","	38","	3","	12","	34","	3","	1","	0","	14","	43","	1","	25","	0","	20","	11","	2","	0","	"
196612,"	0","	8","	12","	12","	93","	4","	2","	2","	1","	17","	2","	1","	20","	0","	41","	9","	8","	36","	11","	10","	19","	2","	57","	7","	12","	5","	2","	13","	0","	0","	0","	12","	1","	0","	58","	32","	7","	46","	33","	2","	1","	0","	28","	35","	3","	6","	1","	5","	2","	7","	0","	"
196613,"	3","	6","	16","	5","	102","	4","	7","	0","	3","	22","	10","	3","	6","	3","	14","	19","	4","	22","	11","	12","	17","	4","	64","	6","	20","	7","	2","	2","	0","	1","	1","	14","	5","	2","	46","	17","	3","	11","	42","	9","	0","	0","	37","	33","	5","	13","	0","	5","	2","	3","	3","	"
196614,"	0","	6","	1","	8","	101","	11","	6","	3","	3","	16","	13","	0","	19","	1","	26","	8","	6","	17","	3","	12","	18","	1","	62","	7","	29","	4","	0","	5","	3","	3","	4","	15","	8","	0","	45","	33","	6","	9","	26","	4","	1","	0","	16","	29","	7","	7","	1","	5","	8","	2","	3","	"
196615,"	1","	7","	10","	5","	86","	21","	4","	0","	1","	12","	15","	2","	5","	3","	16","	10","	0","	18","	8","	12","	21","	0","	73","	2","	6","	2","	2","	4","	2","	1","	1","	15","	5","	0","	36","	44","	1","	10","	40","	1","	0","	0","	23","	37","	1","	16","	0","	13","	4","	2","	1","	"
196616,"	1","	19","	9","	3","	110","	0","	4","	0","	0","	15","	16","	4","	5","	2","	4","	11","	3","	35","	10","	27","	31","	3","	41","	1","	28","	10","	3","	12","	2","	0","	1","	19","	6","	1","	39","	30","	1","	18","	27","	0","	1","	0","	17","	38","	2","	8","	0","	13","	6","	8","	0","	"
